entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,mano_obra,destacada,expediente_numero,financiamiento
Plan 54 escuelas,"Escuela de Educacion Primaria N.° 24 D.E. 15 ""Francisco Morazan"" - Siglo XXI",Finalizada,Escuelas,Ministerio de Educacion,Primaria,"$ 67.065.700,00",12,villa urquiza,"RIVERA, PEDRO I., DR. 4221",1/12/2013,31/5/2016,29,100,Criba S.A.,2013,Licitacion Publica,2030-MDUGC-2013,30505454436,0,SI,914412-MDUGC-2013,Desconocido
Donado Holmberg,Calle Holmberg: Nivelacion en cruce,Finalizada,Espacio Publico,Secretari­a de Transporte y Obras Publicas,"En el marco del proyecto urbano del Barrio Parque Donado Holmberg, se creo un parque lineal planteado como un recorrido que incluyo pequeñas plazas y genero continuidad fi­sica y espacial a lo largo de toda su traza, mediante la nivelacion de los cruces en las intersecciones del par Holmberg y Donado con las calles Tomas le Breton, Pedro Ignacio Iivera, Blanco Encalada, Mendoza, Virrey del Pino y Carbajal.","$ 9.950.017,00",12,villa urquiza,HOLMBERG Y OLAZABAL AV.,16/3/2015,15/7/2016,16,100,Altote S.A,2014,Licitacion Publica,957/2014,30707431896,16,NO,5515928/2014,Desconocido
Area Ambiental Central,Area Ambiental Central: Calles Alsina Y Moreno,Finalizada,Espacio Publico,Secretari­a de Transporte y Obras Publicas,"Se intervinieron los tramos comprendidos entre la Av. Presidente Julio Argentino Roca y la calle Defensa, realizando obras de nivelacion, colocacion de darsenas de carga y descarga, nuevas luminarias y se reemplazo el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle.","$ 36.942.632,00",1,montserrat,"ALSINA, ADOLFO E IRIGOYEN, BERNARDO DE",12/1/2016,15/11/2017,22,100,Rol Ingenieria S.A,2016,Licitacion Publica,640-SIGAF/16,30578447659,55,NO,0,Desconocido
Area Ambiental Central,Area Ambiental Central: Calle Esmeralda I,Finalizada,Espacio Publico,Secretari­a de Transporte y Obras Publicas,"La obra incluyo el tramo ubicado entre la Av. Santa Fe y la Av. de Mayo en donde se realizaron obras de nivelacion con el objetivo de dejar un carril central para transito liviano, restringiendo el paso de colectivos. Ademas, se intalaron nuevas luminarias y se plantaron arboles.","$ 26.938.294,00",1,san nicolas,ESMERALDA Y CORRIENTES AV.,27/10/2014,28/2/2017,28,100,Dal Construcciones S.A,2014,Licitacion Publica,305/2014,30604370171,59,NO,0,Desconocido
Villa Oli­mpica,Villa Oli­mpica: Viviendas II,Finalizada,Vivienda,Secretari­a de Transporte y Obras Publicas,La segunda licitacion comprendio la construccion de 3 edificios con una superficie aproximada de 13.000m2 destinados a vivienda y 470m2 que fueron destinados a locales comerciales.,"$ 148.823.367,00",8,villa lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",15/2/2016,30/8/2017,18,100,EMACO SA - CONSTRUCTORA LANUSSE SA -UTE,2015,Licitacion Publica,115/2015,30714969362,0,SI,16.821.753-0GPUYAJ2014,Desconocido
Villa Oli­mpica,Villa Oli­mpica: Viviendas III,Finalizada,Vivienda,Secretari­a de Transporte y Obras Publicas,El tercer conjunto licitado comprendio la construccion de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 370m2 que fueron destinados a locales comerciales.,"$ 179.192.366,00",8,villa lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",25/2/2016,15/10/2017,20,100,Bricons S.A.I.C.F.I.,2015,Licitacion Publica,329-329-MDUGC-2015,30541068151,0,NO,1026045-1026045-DGPUYA-2015,Desconocido
Villa Oli­mpica,Villa Oli­mpica: Viviendas IV,Finalizada,Vivienda,Secretari­a de Transporte y Obras Publicas,La cuarta licitacion comprendio la construccion de 3 edificios con una superficie de aproximada de 14.050m2 destinados a vivienda y 380m2 que fueron destinados a locales comerciales.,"$ 163.279.322,00",8,villa lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",15/2/2016,30/8/2017,18,100,Dycasa S.A.,2015,Licitacion Publica,395/2015,33516294189,0,NO,2.163.614-MGEYA-DGPUYA-2015,Desconocido
Villa Oli­mpica,Villa Oli­mpica: Viviendas IX,Finalizada,Vivienda,Secretari­a de Transporte y Obras Publicas,La licitacion Nº 9 contemplo la construccion de 3 edificios con una superficie aproximada de 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.,"$ 137.837.183,00",8,villa lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",28/3/2016,15/2/2018,23,100,Criba S.A.,2015,Licitacion Publica,580/2015,30505454436,0,NO,12.809.363-MGEYA-DGPUYA-2015,Desconocido
Villa Oli­mpica,Villa Oli­mpica: Viviendas V,Finalizada,Vivienda,Secretari­a de Transporte y Obras Publicas,La licitacion Nº 5 contemplo la construccion de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 230m2 que fueron destinados a locales comerciales.,"$ 166.503.404,00",8,villa lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",15/3/2016,30/9/2017,18,100,Dycasa S.A.,2015,Licitacion Publica,396/2015,33516294189,0,NO,2.254.226-MGEYA-DGPUYA-2015,Desconocido
Villa Oli­mpica,Villa Oli­mpica: Viviendas VI,Finalizada,Vivienda,Secretari­a de Transporte y Obras Publicas,La licitacion Nº 6 contemplo la construccion de 3 edificios con una superficie aproximada de 11.700m2 que fueron destinados a vivienda y 430m2 que fueron destinados a locales comerciales.,"$ 160.833.300,00",8,villa lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",15/2/2016,30/8/2017,18,100,Criba S.A.,2015,Licitacion Publica,450/2015,30505454436,0,NO,EX-2015-03683859- -MGEYA-DGPUYA,Desconocido
